time,row,col,demand
612,4,7,0
678,6,1,0
576,4,6,650
56,7,5,0
207,5,7,5
210,4,1,16
675,0,2,21
642,5,7,19
709,1,3,13
397,0,1,7
238,6,0,0
216,0,1,5
65,1,5,470
557,5,6,0
482,7,0,0
2,2,0,0
144,2,3,37
269,3,7,9
593,6,4,44
51,7,5,3
629,7,0,0
156,6,1,0
243,4,1,14
409,1,1,39
188,3,5,27
148,4,6,0
72,6,2,4
280,5,3,32
649,3,3,172
412,6,6,12
112,3,1,10
231,0,1,5
611,2,0,0
625,4,4,213
311,6,0,0
236,2,0,5
606,3,6,139
252,0,2,9
226,1,1,0
158,0,6,304
187,6,4,12
225,0,2,5
656,0,2,0
724,7,1,0
710,0,7,99
118,7,2,0
478,2,1,0
582,5,5,27
106,6,4,0
468,2,6,27
653,1,5,63
586,7,7,0
588,1,6,0
212,3,2,8
332,7,5,32
2,0,2,0
543,6,1,0
318,6,5,46
406,6,1,0
282,7,0,0
399,5,6,30
651,0,3,122
371,3,4,0
80,6,2,0
472,4,7,69
521,6,1,0
536,3,6,0
73,0,7,12
239,6,5,13
263,6,4,17
67,1,2,145
255,1,0,5
203,6,0,0
654,5,5,20
311,4,4,19
99,4,3,40
185,1,4,7
247,2,0,0
201,0,1,0
448,7,0,0
532,2,0,0
598,7,5,10
290,1,5,0
723,5,2,14
161,3,4,98
510,4,1,0
676,7,5,12
640,6,3,0
562,2,7,0
79,5,4,0
278,6,7,5
341,2,3,27
716,0,4,112
223,6,4,0
632,7,4,0
484,7,3,8
270,1,3,0
235,7,7,13
660,1,2,20
399,7,0,0
530,7,1,0
530,5,4,31
213,4,1,5
478,7,5,27
239,5,2,0
289,5,2,0
719,0,5,225
67,7,2,0
183,3,4,19
339,1,3,91
670,4,1,20
637,2,2,49
142,6,0,0
535,6,1,0
586,3,1,0
406,4,3,96
565,3,3,100
417,3,1,0
348,6,5,0
712,0,1,13
526,5,4,15
96,5,0,0
161,1,3,55
570,2,2,74
725,4,6,1039
420,7,0,0
242,4,2,9
72,1,5,41
257,2,0,5
576,1,7,176
724,3,3,104
85,7,5,4
577,6,2,0
384,1,7,160
91,7,0,0
231,3,0,5
180,6,1,0
332,1,6,170
634,2,6,0
101,0,3,0
660,0,6,12
39,7,1,0
531,2,1,0
416,1,5,19
332,1,1,0
515,6,2,0
261,7,4,14
477,0,3,96
4,6,6,0
596,5,2,34
158,6,6,260
713,2,4,0
469,5,6,21
85,1,4,180
329,7,5,0
291,6,7,0
403,5,3,11
363,4,5,79
433,5,5,53
685,5,6,41
317,0,2,6
87,0,6,879
16,0,1,19
600,7,0,0
536,4,5,0
292,4,2,0
393,4,1,7
334,0,4,113
55,1,6,6
99,4,6,0
181,4,5,19
609,7,2,0
112,1,5,13
124,1,3,0
321,4,1,0
653,5,0,0
456,0,3,69
223,2,0,0
716,5,5,78
91,0,3,154
531,7,2,0
581,1,3,115
716,2,5,294
147,5,4,7
172,0,3,12
247,0,2,0
381,2,3,50
155,5,6,37
216,4,5,85
507,4,5,47
575,2,4,242
627,4,6,67
183,1,2,15
479,7,1,0
523,1,1,53
158,2,0,0
45,3,0,0
525,6,4,15
665,7,2,39
647,1,2,205
588,5,1,0
713,0,7,22
557,2,6,94
176,1,6,0
122,1,6,7
242,5,6,5
286,7,0,0
654,0,1,0
490,7,7,0
73,0,5,16
0,3,1,5
263,7,2,0
577,4,7,88
637,3,1,30
106,0,6,4
478,7,0,0
680,7,3,0
457,6,6,27
525,4,6,257
495,1,5,195
551,7,3,0
39,6,2,3
